polyhedron,face_id,n_sides,vertex_ids
Tetrahedron,F0,3,V0;V1;V2
Tetrahedron,F1,3,V1;V0;V3
Tetrahedron,F2,3,V2;V3;V0
Tetrahedron,F3,3,V3;V2;V1
Octahedron,F0,3,V0;V2;V4
Octahedron,F1,3,V0;V4;V3
Octahedron,F2,3,V0;V3;V5
Octahedron,F3,3,V0;V5;V2
Octahedron,F4,3,V1;V2;V5
Octahedron,F5,3,V1;V5;V3
Octahedron,F6,3,V1;V3;V4
Octahedron,F7,3,V1;V4;V2
Cube,F0,4,V0;V1;V5;V4
Cube,F1,4,V0;V4;V6;V2
Cube,F2,4,V0;V2;V3;V1
Cube,F3,4,V7;V3;V2;V6
Cube,F4,4,V7;V6;V4;V5
Cube,F5,4,V7;V5;V1;V3
Icosahedron,F0,3,V0;V2;V10
Icosahedron,F1,3,V0;V10;V5
Icosahedron,F2,3,V0;V5;V4
Icosahedron,F3,3,V0;V4;V8
Icosahedron,F4,3,V0;V8;V2
Icosahedron,F5,3,V3;V1;V11
Icosahedron,F6,3,V3;V11;V7
Icosahedron,F7,3,V3;V7;V6
Icosahedron,F8,3,V3;V6;V9
Icosahedron,F9,3,V3;V9;V1
Icosahedron,F10,3,V2;V6;V7
Icosahedron,F11,3,V2;V7;V10
Icosahedron,F12,3,V10;V7;V11
Icosahedron,F13,3,V10;V11;V5
Icosahedron,F14,3,V5;V11;V1
Icosahedron,F15,3,V5;V1;V4
Icosahedron,F16,3,V4;V1;V9
Icosahedron,F17,3,V4;V9;V8
Icosahedron,F18,3,V8;V9;V6
Icosahedron,F19,3,V8;V6;V2
ElongatedSquareGyrobicupola,F0,4,V0;V3;V18;V10
ElongatedSquareGyrobicupola,F1,4,V1;V2;V20;V12
ElongatedSquareGyrobicupola,F2,4,V2;V0;V8;V16
ElongatedSquareGyrobicupola,F3,4,V3;V1;V14;V22
ElongatedSquareGyrobicupola,F4,4,V4;V6;V21;V17
ElongatedSquareGyrobicupola,F5,4,V5;V4;V9;V11
ElongatedSquareGyrobicupola,F6,4,V6;V7;V15;V13
ElongatedSquareGyrobicupola,F7,4,V7;V5;V19;V23
ElongatedSquareGyrobicupola,F8,4,V16;V17;V21;V20
ElongatedSquareGyrobicupola,F9,4,V17;V16;V8;V9
ElongatedSquareGyrobicupola,F10,4,V18;V19;V11;V10
ElongatedSquareGyrobicupola,F11,4,V19;V18;V22;V23
ElongatedSquareGyrobicupola,F12,4,V8;V10;V11;V9
ElongatedSquareGyrobicupola,F13,4,V15;V14;V12;V13
ElongatedSquareGyrobicupola,F14,4,V20;V21;V13;V12
ElongatedSquareGyrobicupola,F15,4,V23;V22;V14;V15
ElongatedSquareGyrobicupola,F16,4,V0;V2;V1;V3
ElongatedSquareGyrobicupola,F17,4,V7;V6;V4;V5
ElongatedSquareGyrobicupola,F18,3,V0;V10;V8
ElongatedSquareGyrobicupola,F19,3,V1;V12;V14
ElongatedSquareGyrobicupola,F20,3,V2;V16;V20
ElongatedSquareGyrobicupola,F21,3,V3;V22;V18
ElongatedSquareGyrobicupola,F22,3,V4;V17;V9
ElongatedSquareGyrobicupola,F23,3,V5;V11;V19
ElongatedSquareGyrobicupola,F24,3,V6;V13;V21
ElongatedSquareGyrobicupola,F25,3,V7;V23;V15
TruncatedTetrahedron,F0,6,V0;V4;V5;V9;V10;V2
TruncatedTetrahedron,F1,6,V1;V5;V4;V8;V11;V3
TruncatedTetrahedron,F2,6,V2;V6;V7;V11;V8;V0
TruncatedTetrahedron,F3,6,V3;V7;V6;V10;V9;V1
TruncatedTetrahedron,F4,3,V0;V8;V4
TruncatedTetrahedron,F5,3,V1;V9;V5
TruncatedTetrahedron,F6,3,V2;V10;V6
TruncatedTetrahedron,F7,3,V3;V11;V7
TruncatedOctahedron,F0,6,V0;V14;V10;V21;V5;V16
TruncatedOctahedron,F1,6,V1;V13;V9;V20;V4;V17
TruncatedOctahedron,F2,6,V2;V12;V8;V22;V6;V18
TruncatedOctahedron,F3,6,V3;V15;V11;V23;V7;V19
TruncatedOctahedron,F4,6,V4;V20;V8;V12;V0;V16
TruncatedOctahedron,F5,6,V5;V21;V11;V15;V1;V17
TruncatedOctahedron,F6,6,V7;V23;V10;V14;V2;V18
TruncatedOctahedron,F7,6,V6;V22;V9;V13;V3;V19
TruncatedOctahedron,F8,4,V0;V12;V2;V14
TruncatedOctahedron,F9,4,V1;V15;V3;V13
TruncatedOctahedron,F10,4,V4;V16;V5;V17
TruncatedOctahedron,F11,4,V6;V19;V7;V18
TruncatedOctahedron,F12,4,V8;V20;V9;V22
TruncatedOctahedron,F13,4,V10;V23;V11;V21
LsnubCube,F0,4,V2;V12;V0;V14
LsnubCube,F1,4,V3;V13;V1;V15
LsnubCube,F2,4,V4;V16;V5;V17
LsnubCube,F3,4,V7;V19;V6;V18
LsnubCube,F4,4,V8;V21;V11;V22
LsnubCube,F5,4,V9;V20;V10;V23
LsnubCube,F6,3,V0;V8;V14
LsnubCube,F7,3,V1;V9;V15
LsnubCube,F8,3,V2;V10;V12
LsnubCube,F9,3,V3;V11;V13
LsnubCube,F10,3,V4;V0;V16
LsnubCube,F11,3,V5;V1;V17
LsnubCube,F12,3,V6;V2;V18
LsnubCube,F13,3,V7;V3;V19
LsnubCube,F14,3,V8;V4;V21
LsnubCube,F15,3,V9;V5;V20
LsnubCube,F16,3,V10;V6;V23
LsnubCube,F17,3,V11;V7;V22
LsnubCube,F18,3,V12;V16;V0
LsnubCube,F19,3,V13;V17;V1
LsnubCube,F20,3,V14;V18;V2
LsnubCube,F21,3,V15;V19;V3
LsnubCube,F22,3,V16;V20;V5
LsnubCube,F23,3,V17;V21;V4
LsnubCube,F24,3,V18;V22;V7
LsnubCube,F25,3,V19;V23;V6
LsnubCube,F26,3,V20;V12;V10
LsnubCube,F27,3,V21;V13;V11
LsnubCube,F28,3,V22;V14;V8
LsnubCube,F29,3,V23;V15;V9
LsnubCube,F30,3,V8;V0;V4
LsnubCube,F31,3,V9;V1;V5
LsnubCube,F32,3,V10;V2;V6
LsnubCube,F33,3,V11;V3;V7
LsnubCube,F34,3,V12;V20;V16
LsnubCube,F35,3,V13;V21;V17
LsnubCube,F36,3,V14;V22;V18
LsnubCube,F37,3,V15;V23;V19
RsnubCube,F0,4,V2;V14;V0;V12
RsnubCube,F1,4,V3;V15;V1;V13
RsnubCube,F2,4,V4;V17;V5;V16
RsnubCube,F3,4,V7;V18;V6;V19
RsnubCube,F4,4,V8;V22;V11;V21
RsnubCube,F5,4,V9;V23;V10;V20
RsnubCube,F6,3,V0;V14;V8
RsnubCube,F7,3,V1;V15;V9
RsnubCube,F8,3,V2;V12;V10
RsnubCube,F9,3,V3;V13;V11
RsnubCube,F10,3,V4;V16;V0
RsnubCube,F11,3,V5;V17;V1
RsnubCube,F12,3,V6;V18;V2
RsnubCube,F13,3,V7;V19;V3
RsnubCube,F14,3,V8;V21;V4
RsnubCube,F15,3,V9;V20;V5
RsnubCube,F16,3,V10;V23;V6
RsnubCube,F17,3,V11;V22;V7
RsnubCube,F18,3,V12;V0;V16
RsnubCube,F19,3,V13;V1;V17
RsnubCube,F20,3,V14;V2;V18
RsnubCube,F21,3,V15;V3;V19
RsnubCube,F22,3,V16;V5;V20
RsnubCube,F23,3,V17;V4;V21
RsnubCube,F24,3,V18;V7;V22
RsnubCube,F25,3,V19;V6;V23
RsnubCube,F26,3,V20;V10;V12
RsnubCube,F27,3,V21;V11;V13
RsnubCube,F28,3,V22;V8;V14
RsnubCube,F29,3,V23;V9;V15
RsnubCube,F30,3,V8;V4;V0
RsnubCube,F31,3,V9;V5;V1
RsnubCube,F32,3,V10;V6;V2
RsnubCube,F33,3,V11;V7;V3
RsnubCube,F34,3,V12;V16;V20
RsnubCube,F35,3,V13;V17;V21
RsnubCube,F36,3,V14;V18;V22
RsnubCube,F37,3,V15;V19;V23
Icosidodecahedron,F0,5,V0;V8;V16;V14;V6
Icosidodecahedron,F1,5,V0;V10;V18;V20;V12
Icosidodecahedron,F2,5,V1;V7;V15;V17;V9
Icosidodecahedron,F3,5,V1;V13;V21;V19;V11
Icosidodecahedron,F4,5,V2;V15;V23;V22;V14
Icosidodecahedron,F5,5,V2;V16;V24;V25;V17
